,_id,name,category_code,founded_year,total_money_raised,funding_rounds,acquisition,offices,acquisition.price_amount,acquisition.price_currency_code,acquisition.term_code,acquisition.source_url,acquisition.source_description,acquisition.acquired_year,acquisition.acquired_month,acquisition.acquired_day,acquisition.acquiring_company.name,acquisition.acquiring_company.permalink,venue_location,GeoPoint_status
3,52cdef7c4bab8bd675297f9e,GENWI,mobile,2010,$7.1M,"{'id': 32667, 'round_code': 'unattributed', 'source_url': 'http://www.finsmes.com/2012/09/genwi-raises-2m.html?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+finsmes%2FcNHu+%28FinSMEs%29', 'source_description': 'GENWI Raises $2M', 'raised_amount': 2000000, 'raised_currency_code': 'USD', 'funded_year': 2012, 'funded_month': 9, 'funded_day': 18, 'investments': [{'company': None, 'financial_org': {'name': 'Elevation Partners', 'permalink': 'elevation-partners'}, 'person': None}, {'company': None, 'financial_org': {'name': 'FLOODGATE', 'permalink': 'floodgate'}, 'person': None}]}",,"{'description': '', 'address1': '4966 El Camino Real', 'address2': 'Suite 200', 'zip_code': '94022', 'city': 'Los Altos', 'state_code': 'CA', 'country_code': 'USA', 'latitude': 33.8171, 'longitude': -111.9035}",,,,,,,,,,,"{'PointCategory': 'business office', 'GeoPoint': {'type': 'Point', 'coordinates': [-111.9035, 33.8171]}}",GeoPoint Found
4,52cdef7c4bab8bd675297fb1,headr,web,2012,$0,,,"{'description': '', 'address1': 'Ritterstr. 12-14', 'address2': '', 'zip_code': '10969', 'city': 'Berlin', 'state_code': None, 'country_code': 'DEU', 'latitude': 52.5013449, 'longitude': 13.4109071}",,,,,,,,,,,"{'PointCategory': 'business office', 'GeoPoint': {'type': 'Point', 'coordinates': [13.4109071, 52.5013449]}}",GeoPoint Found
4,52cdef7c4bab8bd675297fb1,headr,web,2012,$0,,,"{'description': '', 'address1': 'Fischerstr. 13', 'address2': '', 'zip_code': '30167', 'city': 'Hannover', 'state_code': None, 'country_code': 'DEU', 'latitude': None, 'longitude': None}",,,,,,,,,,,,Lat or Lon are `None`
5,52cdef7c4bab8bd675297fec,Fixya,web,2013,$8M,"{'id': 1835, 'round_code': 'a', 'source_url': 'http://www.techcrunch.com/2008/03/18/fixya-raises-6-million-b-round-for-crowdsourced-tech-support/', 'source_description': 'TechCrunch', 'raised_amount': 2000000, 'raised_currency_code': 'USD', 'funded_year': 2007, 'funded_month': 1, 'funded_day': 1, 'investments': [{'company': None, 'financial_org': {'name': 'Mayfield Fund', 'permalink': 'mayfield-fund'}, 'person': None}, {'company': None, 'financial_org': {'name': 'Pitango Venture Capital', 'permalink': 'pitango-venture-capital'}, 'person': None}]}",,"{'description': '', 'address1': 'One Franklin Parkway', 'address2': 'Building 910, Suite 110', 'zip_code': '94401', 'city': 'San Mateo', 'state_code': 'CA', 'country_code': 'USA', 'latitude': 37.566879, 'longitude': -122.323895}",,,,,,,,,,,"{'PointCategory': 'business office', 'GeoPoint': {'type': 'Point', 'coordinates': [-122.323895, 37.566879]}}",GeoPoint Found
5,52cdef7c4bab8bd675297fec,Fixya,web,2013,$8M,"{'id': 1836, 'round_code': 'b', 'source_url': 'http://www.techcrunch.com/2008/03/18/fixya-raises-6-million-b-round-for-crowdsourced-tech-support/', 'source_description': 'TechCrunch', 'raised_amount': 6000000, 'raised_currency_code': 'USD', 'funded_year': 2008, 'funded_month': 3, 'funded_day': 18, 'investments': [{'company': None, 'financial_org': {'name': 'Mayfield Fund', 'permalink': 'mayfield-fund'}, 'person': None}, {'company': None, 'financial_org': {'name': 'Pitango Venture Capital', 'permalink': 'pitango-venture-capital'}, 'person': None}]}",,"{'description': '', 'address1': 'One Franklin Parkway', 'address2': 'Building 910, Suite 110', 'zip_code': '94401', 'city': 'San Mateo', 'state_code': 'CA', 'country_code': 'USA', 'latitude': 37.566879, 'longitude': -122.323895}",,,,,,,,,,,"{'PointCategory': 'business office', 'GeoPoint': {'type': 'Point', 'coordinates': [-122.323895, 37.566879]}}",GeoPoint Found
6,52cdef7c4bab8bd67529801f,Wamba,web,2013,€3M,"{'id': 737, 'round_code': 'angel', 'source_url': '', 'source_description': '', 'raised_amount': 3000000, 'raised_currency_code': 'EUR', 'funded_year': 2007, 'funded_month': 9, 'funded_day': 1, 'investments': [{'company': None, 'financial_org': None, 'person': {'first_name': 'Morten', 'last_name': 'Lund', 'permalink': 'morten-lund'}}]}",,,,,,,,,,,,,,No office object found for this row
7,52cdef7c4bab8bd6752980bb,Needium,enterprise,2010,$1M,"{'id': 926, 'round_code': 'seed', 'source_url': 'http://www.praized.com/blog/about/web-20-startup-praized-media-inc-secures-1000000-in-seed-funding/', 'source_description': None, 'raised_amount': 1000000, 'raised_currency_code': 'USD', 'funded_year': 2007, 'funded_month': 9, 'funded_day': 1, 'investments': [{'company': None, 'financial_org': {'name': 'Garage Technology Ventures Canada', 'permalink': 'garage-technology-ventures-canada'}, 'person': None}]}",,"{'description': 'Needium HQ', 'address1': '460 Ste-Catherine W. #402', 'address2': '', 'zip_code': 'H3B1A7', 'city': 'Montreal', 'state_code': None, 'country_code': 'CAN', 'latitude': 45.5049305, 'longitude': -73.5681635}",,,,,,,,,,,"{'PointCategory': 'business office', 'GeoPoint': {'type': 'Point', 'coordinates': [-73.5681635, 45.5049305]}}",GeoPoint Found
8,52cdef7c4bab8bd6752981a0,Pinger,messaging,2012,$18.5M,"{'id': 1271, 'round_code': 'a', 'source_url': 'http://www.siliconbeat.com/entries/2005/12/22/voice_startups_jingling_loudly.html', 'source_description': 'Voice start-ups -- jingling loudly', 'raised_amount': 3000000, 'raised_currency_code': 'USD', 'funded_year': 2005, 'funded_month': 12, 'funded_day': 1, 'investments': [{'company': None, 'financial_org': {'name': 'Kleiner Perkins Caufield & Byers', 'permalink': 'kleiner-perkins-caufield-byers'}, 'person': None}]}",,"{'description': '', 'address1': '97 S. 2nd Street', 'address2': 'Suite 210', 'zip_code': '95113', 'city': 'San Jose', 'state_code': 'CA', 'country_code': 'USA', 'latitude': None, 'longitude': None}",,,,,,,,,,,,Lat or Lon are `None`
8,52cdef7c4bab8bd6752981a0,Pinger,messaging,2012,$18.5M,"{'id': 1272, 'round_code': 'b', 'source_url': 'http://venturebeat.com/2006/12/07/pinger-raises-8m-more-for-voice-message-to-email-service/', 'source_description': '', 'raised_amount': 8000000, 'raised_currency_code': 'USD', 'funded_year': 2006, 'funded_month': 12, 'funded_day': 1, 'investments': [{'company': None, 'financial_org': {'name': 'DAG Ventures', 'permalink': 'dag-ventures'}, 'person': None}, {'company': None, 'financial_org': {'name': 'Kleiner Perkins Caufield & Byers', 'permalink': 'kleiner-perkins-caufield-byers'}, 'person': None}]}",,"{'description': '', 'address1': '97 S. 2nd Street', 'address2': 'Suite 210', 'zip_code': '95113', 'city': 'San Jose', 'state_code': 'CA', 'country_code': 'USA', 'latitude': None, 'longitude': None}",,,,,,,,,,,,Lat or Lon are `None`
8,52cdef7c4bab8bd6752981a0,Pinger,messaging,2012,$18.5M,"{'id': 28383, 'round_code': 'unattributed', 'source_url': 'http://www.pehub.com/137354/pinger-raises-7-5m/', 'source_description': 'Pinger Raises $7.5M', 'raised_amount': 7500000, 'raised_currency_code': 'USD', 'funded_year': 2012, 'funded_month': 2, 'funded_day': 23, 'investments': [{'company': None, 'financial_org': {'name': 'T-Venture', 'permalink': 't-venture'}, 'person': None}]}",,"{'description': '', 'address1': '97 S. 2nd Street', 'address2': 'Suite 210', 'zip_code': '95113', 'city': 'San Jose', 'state_code': 'CA', 'country_code': 'USA', 'latitude': None, 'longitude': None}",,,,,,,,,,,,Lat or Lon are `None`
9,52cdef7c4bab8bd6752981d8,Widgetbox,other,2012,$14.5M,"{'id': 1353, 'round_code': 'angel', 'source_url': 'http://docs.widgetbox.com/about/press-releases/#April_17_2007', 'source_description': '', 'raised_amount': 1500000, 'raised_currency_code': 'USD', 'funded_year': 2006, 'funded_month': 6, 'funded_day': 1, 'investments': [{'company': None, 'financial_org': {'name': 'Hummer Winblad Venture Partners', 'permalink': 'hummer-winblad-venture-partners'}, 'person': None}]}",,"{'description': None, 'address1': None, 'address2': None, 'zip_code': '94111', 'city': 'San Francisco', 'state_code': 'CA', 'country_code': 'USA', 'latitude': 37.798853, 'longitude': -122.398599}",,,,,,,,,,,"{'PointCategory': 'business office', 'GeoPoint': {'type': 'Point', 'coordinates': [-122.398599, 37.798853]}}",GeoPoint Found
9,52cdef7c4bab8bd6752981d8,Widgetbox,other,2012,$14.5M,"{'id': 1473, 'round_code': 'b', 'source_url': 'http://www.techcrunch.com/2008/01/31/widgetbox-secures-8m-more-in-series-b-funding/', 'source_description': '', 'raised_amount': 8000000, 'raised_currency_code': 'USD', 'funded_year': 2008, 'funded_month': 1, 'funded_day': 1, 'investments': [{'company': None, 'financial_org': {'name': 'Hummer Winblad Venture Partners', 'permalink': 'hummer-winblad-venture-partners'}, 'person': None}, {'company': None, 'financial_org': {'name': 'Northgate Capital', 'permalink': 'northgate-capital'}, 'person': None}, {'company': None, 'financial_org': {'name': 'Sequoia Capital', 'permalink': 'sequoia-capital'}, 'person': None}, {'company': None, 'financial_org': {'name': 'Harrison Metal Capital', 'permalink': 'harrison-metal-capital'}, 'person': None}]}",,"{'description': None, 'address1': None, 'address2': None, 'zip_code': '94111', 'city': 'San Francisco', 'state_code': 'CA', 'country_code': 'USA', 'latitude': 37.798853, 'longitude': -122.398599}",,,,,,,,,,,"{'PointCategory': 'business office', 'GeoPoint': {'type': 'Point', 'coordinates': [-122.398599, 37.798853]}}",GeoPoint Found
9,52cdef7c4bab8bd6752981d8,Widgetbox,other,2012,$14.5M,"{'id': 1766, 'round_code': 'a', 'source_url': '', 'source_description': '', 'raised_amount': 5000000, 'raised_currency_code': 'USD', 'funded_year': 2007, 'funded_month': 6, 'funded_day': 1, 'investments': [{'company': None, 'financial_org': {'name': 'Sequoia Capital', 'permalink': 'sequoia-capital'}, 'person': None}, {'company': None, 'financial_org': {'name': 'Hummer Winblad Venture Partners', 'permalink': 'hummer-winblad-venture-partners'}, 'person': None}, {'company': None, 'financial_org': {'name': 'Harrison Metal Capital', 'permalink': 'harrison-metal-capital'}, 'person': None}]}",,"{'description': None, 'address1': None, 'address2': None, 'zip_code': '94111', 'city': 'San Francisco', 'state_code': 'CA', 'country_code': 'USA', 'latitude': 37.798853, 'longitude': -122.398599}",,,,,,,,,,,"{'PointCategory': 'business office', 'GeoPoint': {'type': 'Point', 'coordinates': [-122.398599, 37.798853]}}",GeoPoint Found
10,52cdef7c4bab8bd6752981dc,RazorGator,ecommerce,2011,$58.8M,"{'id': 1366, 'round_code': 'a', 'source_url': 'http://www.razorgator.com/tickets/content/venture-wire-fundraising/', 'source_description': '', 'raised_amount': 26000000, 'raised_currency_code': 'USD', 'funded_year': 2005, 'funded_month': 3, 'funded_day': 1, 'investments': [{'company': None, 'financial_org': {'name': 'Kleiner Perkins Caufield & Byers', 'permalink': 'kleiner-perkins-caufield-byers'}, 'person': None}, {'company': None, 'financial_org': {'name': 'Oak Investment Partners', 'permalink': 'oak-investment-partners'}, 'person': None}, {'company': None, 'financial_org': {'name': 'Hercules Technology Growth Capital', 'permalink': 'hercules-technology-growth'}, 'person': None}]}",,"{'description': None, 'address1': '11150 Santa Monica Blvd. Suite 500', 'address2': None, 'zip_code': '90025', 'city': 'Los Angeles', 'state_code': 'CA', 'country_code': 'USA', 'latitude': 34.047312, 'longitude': -118.445243}",,,,,,,,,,,"{'PointCategory': 'business office', 'GeoPoint': {'type': 'Point', 'coordinates': [-118.445243, 34.047312]}}",GeoPoint Found
10,52cdef7c4bab8bd6752981dc,RazorGator,ecommerce,2011,$58.8M,"{'id': 1367, 'round_code': 'b', 'source_url': 'http://hosting.mansellgroup.net/enablemail/ThomsonNewLetter/HostedWires/NewsLetters/March15-06.htm', 'source_description': '', 'raised_amount': 22800000, 'raised_currency_code': 'USD', 'funded_year': 2006, 'funded_month': 3, 'funded_day': 1, 'investments': [{'company': None, 'financial_org': {'name': 'Hercules Technology Growth Capital', 'permalink': 'hercules-technology-growth'}, 'person': None}, {'company': None, 'financial_org': {'name': 'Kleiner Perkins Caufield & Byers', 'permalink': 'kleiner-perkins-caufield-byers'}, 'person': None}, {'company': None, 'financial_org': {'name': 'Oak Investment Partners', 'permalink': 'oak-investment-partners'}, 'person': None}, {'company': None, 'financial_org': {'name': 'Steamboat Ventures', 'permalink': 'steamboat-ventures'}, 'person': None}]}",,"{'description': None, 'address1': '11150 Santa Monica Blvd. Suite 500', 'address2': None, 'zip_code': '90025', 'city': 'Los Angeles', 'state_code': 'CA', 'country_code': 'USA', 'latitude': 34.047312, 'longitude': -118.445243}",,,,,,,,,,,"{'PointCategory': 'business office', 'GeoPoint': {'type': 'Point', 'coordinates': [-118.445243, 34.047312]}}",GeoPoint Found
10,52cdef7c4bab8bd6752981dc,RazorGator,ecommerce,2011,$58.8M,"{'id': 5265, 'round_code': 'debt_round', 'source_url': 'http://venturebeat.com/2009/03/10/razorgator-raises-10m-in-debt-for-sold-out-event-ticketing/', 'source_description': 'RazorGator raises $10M in debt for sold-out event ticketing', 'raised_amount': 10000000, 'raised_currency_code': 'USD', 'funded_year': 2009, 'funded_month': 3, 'funded_day': 10, 'investments': [{'company': None, 'financial_org': {'name': 'Hercules Technology Growth Capital', 'permalink': 'hercules-technology-growth'}, 'person': None}]}",,"{'description': None, 'address1': '11150 Santa Monica Blvd. Suite 500', 'address2': None, 'zip_code': '90025', 'city': 'Los Angeles', 'state_code': 'CA', 'country_code': 'USA', 'latitude': 34.047312, 'longitude': -118.445243}",,,,,,,,,,,"{'PointCategory': 'business office', 'GeoPoint': {'type': 'Point', 'coordinates': [-118.445243, 34.047312]}}",GeoPoint Found
11,52cdef7c4bab8bd6752982d4,Advaliant,advertising,2013,$100k,"{'id': 3465, 'round_code': 'seed', 'source_url': '', 'source_description': '', 'raised_amount': 100000, 'raised_currency_code': 'USD', 'funded_year': 2004, 'funded_month': 4, 'funded_day': 1, 'investments': [{'company': {'name': 'Empire Media', 'permalink': 'empire-media'}, 'financial_org': None, 'person': None}]}",,"{'description': 'Toronto Office', 'address1': '579 Richmond St. W, Suite 100', 'address2': '', 'zip_code': 'M5V 1Y6', 'city': 'Toronto', 'state_code': None, 'country_code': 'CAN', 'latitude': 43.646599, 'longitude': -79.403014}",,,,,,,,,,,"{'PointCategory': 'business office', 'GeoPoint': {'type': 'Point', 'coordinates': [-79.403014, 43.646599]}}",GeoPoint Found
11,52cdef7c4bab8bd6752982d4,Advaliant,advertising,2013,$100k,"{'id': 3465, 'round_code': 'seed', 'source_url': '', 'source_description': '', 'raised_amount': 100000, 'raised_currency_code': 'USD', 'funded_year': 2004, 'funded_month': 4, 'funded_day': 1, 'investments': [{'company': {'name': 'Empire Media', 'permalink': 'empire-media'}, 'financial_org': None, 'person': None}]}",,"{'description': 'Headquarters', 'address1': '404 Park Ave South', 'address2': '2nd floor', 'zip_code': '10016', 'city': 'New York', 'state_code': 'NY', 'country_code': 'USA', 'latitude': 40.743662, 'longitude': -73.984268}",,,,,,,,,,,"{'PointCategory': 'business office', 'GeoPoint': {'type': 'Point', 'coordinates': [-73.984268, 40.743662]}}",GeoPoint Found
11,52cdef7c4bab8bd6752982d4,Advaliant,advertising,2013,$100k,"{'id': 3465, 'round_code': 'seed', 'source_url': '', 'source_description': '', 'raised_amount': 100000, 'raised_currency_code': 'USD', 'funded_year': 2004, 'funded_month': 4, 'funded_day': 1, 'investments': [{'company': {'name': 'Empire Media', 'permalink': 'empire-media'}, 'financial_org': None, 'person': None}]}",,"{'description': 'New York Headquarters', 'address1': '404 Park Ave South', 'address2': '2nd floor', 'zip_code': '10016', 'city': 'New York', 'state_code': 'NY', 'country_code': 'USA', 'latitude': 40.743662, 'longitude': -73.984268}",,,,,,,,,,,"{'PointCategory': 'business office', 'GeoPoint': {'type': 'Point', 'coordinates': [-73.984268, 40.743662]}}",GeoPoint Found
12,52cdef7c4bab8bd67529830a,Fluc,hospitality,2013,$0,,,"{'description': '', 'address1': '1259 El Camino Real', 'address2': '', 'zip_code': '94025', 'city': 'Menlo Park', 'state_code': 'CA', 'country_code': 'USA', 'latitude': 37.454701, 'longitude': -122.1853756}",,,,,,,,,,,"{'PointCategory': 'business office', 'GeoPoint': {'type': 'Point', 'coordinates': [-122.1853756, 37.454701]}}",GeoPoint Found
13,52cdef7c4bab8bd67529831a,Social Gaming Network,games_video,2011,$17.1M,"{'id': 2262, 'round_code': 'a', 'source_url': 'http://www.paidcontent.org/entry/419-social-gaming-network-raises-15-million/', 'source_description': 'Paidcontent article', 'raised_amount': 15000000, 'raised_currency_code': 'USD', 'funded_year': 2008, 'funded_month': 5, 'funded_day': 13, 'investments': [{'company': None, 'financial_org': {'name': 'Greylock Partners', 'permalink': 'greylock'}, 'person': None}, {'company': None, 'financial_org': {'name': 'Founders Fund', 'permalink': 'founders-fund'}, 'person': None}, {'company': None, 'financial_org': {'name': 'Novak Biddle Venture Partners', 'permalink': 'novak-biddle-venture-partners'}, 'person': None}, {'company': None, 'financial_org': {'name': 'Columbia Capital', 'permalink': 'columbia-capital'}, 'person': None}]}",,"{'description': 'HQ Los Angeles', 'address1': '9570 W. Pico Blvd 3rd Floor', 'address2': '', 'zip_code': '90035', 'city': 'Los Angeles', 'state_code': 'CA', 'country_code': 'USA', 'latitude': 37.446823, 'longitude': -122.161523}",,USD,cash_and_stock,,,2011.0,4.0,18.0,MindJolt,mindjolt,"{'PointCategory': 'business office', 'GeoPoint': {'type': 'Point', 'coordinates': [-122.161523, 37.446823]}}",GeoPoint Found
13,52cdef7c4bab8bd67529831a,Social Gaming Network,games_video,2011,$17.1M,"{'id': 2928, 'round_code': 'a', 'source_url': 'http://gigaom.com/2008/07/14/bezos-gets-his-game-on/', 'source_description': ' Bezos Gets His Game On ', 'raised_amount': None, 'raised_currency_code': None, 'funded_year': 2008, 'funded_month': 7, 'funded_day': 14, 'investments': [{'company': None, 'financial_org': {'name': 'Bezos Expeditions', 'permalink': 'bezos-expeditions'}, 'person': None}]}",,"{'description': 'HQ Los Angeles', 'address1': '9570 W. Pico Blvd 3rd Floor', 'address2': '', 'zip_code': '90035', 'city': 'Los Angeles', 'state_code': 'CA', 'country_code': 'USA', 'latitude': 37.446823, 'longitude': -122.161523}",,USD,cash_and_stock,,,2011.0,4.0,18.0,MindJolt,mindjolt,"{'PointCategory': 'business office', 'GeoPoint': {'type': 'Point', 'coordinates': [-122.161523, 37.446823]}}",GeoPoint Found
13,52cdef7c4bab8bd67529831a,Social Gaming Network,games_video,2011,$17.1M,"{'id': 14277, 'round_code': 'unattributed', 'source_url': '', 'source_description': 'EDGAR', 'raised_amount': 100000, 'raised_currency_code': 'USD', 'funded_year': 2006, 'funded_month': 4, 'funded_day': 7, 'investments': [{'company': None, 'financial_org': {'name': 'Felicis Ventures', 'permalink': 'felicis-ventures'}, 'person': None}]}",,"{'description': 'HQ Los Angeles', 'address1': '9570 W. Pico Blvd 3rd Floor', 'address2': '', 'zip_code': '90035', 'city': 'Los Angeles', 'state_code': 'CA', 'country_code': 'USA', 'latitude': 37.446823, 'longitude': -122.161523}",,USD,cash_and_stock,,,2011.0,4.0,18.0,MindJolt,mindjolt,"{'PointCategory': 'business office', 'GeoPoint': {'type': 'Point', 'coordinates': [-122.161523, 37.446823]}}",GeoPoint Found
